Participant,Group,Tot_session,Inc_session,Game,BonusGames,TotalTrials,Perc_ActSelTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_error,P_go_errors,ActSel_trials,corr_actselect_trials,Incorr_actselect_trials,miss_actselect_trials,wrong_actselect_trials,P_go_omission,P_Hit,P_miss_ActSelTrial,P_corr_actselect,P_val_adjusted,dprime,dprime_bias,mean_SSD,SSD_std,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_go_RT,mean_Corr_go_RT,mean_InCorr_go_RT,mean_all_ActSel_RT,mean_CorrActSel_RT,mean_InCorrActSel_RT,mean_inCorr_Go_RT,std_all_goRT,std_Corr_goRT,std_InCorr_goRT,std_all_ActSel_RT,std_Corr_ActSel_RT,std_InCorr_ActSel_RT,CovVar_all_goRT,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_all_ActSel_RT,CovVar_Corr_ActSel_RT,CovVar_InCorr_ActSel_RT,meanStimDur
21,2,4,1,Conveyor_Belt,1,90,50,45.5555555555556,41,19,45,5,5,20,0.444444444444444,45,22,23,7,16,0.111111111111111,0.422222222222222,0.511111111111111,0.488888888888889,0.575,-0.167565325867321,0.0559276359482017,261.111111111111,118.651939842056,980.688888888889,1005.48888888889,1005.48888888889,1241.8,1266.6,1266.6,,,,0,1246.54545454091,1314.54210526316,1194.867999992,1229.19999999778,1118.5,1335.08695651739,1194.867999992,191.453140132552,122.951450742828,218.843238658106,205.12211219292,165.555914881773,184.420924933143,0.153586970643652,0.093531770683157,0.183152648375863,0.166874481120478,0.148016016881335,0.138134017438242,1500
21,2,4,1,HR_Driving,2,18,27.7777777777778,77.7777777777778,14,11,13,0,0,2,0.153846153846154,5,3,2,0,2,0,0.846153846153846,0.4,0.6,0.4,1.273423335922,-0.383364564825201,240,41.8330013267038,400.5999999,400.5999999,400.5999999,640.5999999,640.5999999,640.5999999,,,,0,741.123076915385,713.972727263636,890.45,711.96000002,807.400000033333,568.8,890.45,257.278445636767,246.220373203981,367.907658251361,152.950949656261,72.5835380231634,121.339523651612,0.347146720498275,0.34485963371128,0.41317048486873,0.214830818658301,0.0898978672531171,0.213325463522524,1500
21,2,5,2,HR_Driving,2,97,29.8969072164948,81.4432989690722,79,64,68,1,1,3,0.0441176470588235,29,15,14,0,14,0.0147058823529412,0.941176470588235,0.482758620689655,0.517241379310345,0.489963973237262,1.60795766251462,-0.760747640104491,377.586206896552,68.9023725702737,519.413793103448,530.613793003448,530.613793003448,897,908.1999999,908.1999999,,,,0,917.882352936765,914.229687495313,800.633333333333,891.013793127586,1009.41333334667,764.157142892857,800.633333333333,239.588599472567,233.906472747908,84.2107673242165,211.988521790997,152.441529139749,195.602531507328,0.261023211423559,0.255850882931547,0.105180191503664,0.237918339116712,0.151019928213485,0.255971606529566,1500
21,2,5,2,Mining,2,101,29.7029702970297,52.4752475247525,53,37,71,31,31,3,0.0422535211267606,30,16,14,1,13,0.436619718309859,0.52112676056338,0.466666666666667,0.533333333333333,0.828333333333333,0.136633446010126,0.0153350109020663,631.666666666667,104.620276709874,807.533333333333,878.733333333333,882.133333333333,1439.2,1510.4,1513.8,,,,0,1340.38591549296,1214.22702702703,1477.67647058824,1326.37333333333,1391.175,1252.31428571429,1477.67647058824,270.92449727886,256.603767880867,215.871592105295,339.305476172902,134.310751617285,474.272951039707,0.202124249551833,0.211330963789489,0.146088535888617,0.255814458603587,0.0965448283769367,0.378717193000154,1500
21,2,6,3,Chest_Picking,2,105,49.5238095238095,56.1904761904762,59,33,53,16,16,4,0.0754716981132075,52,26,26,12,14,0.30188679245283,0.622641509433962,0.5,0.5,0.716216216216216,0.312425752996715,-0.156212876498358,332.692307692308,67.7977206110967,984.207692307692,1101.40769230769,1177.00769230769,1316.9,1434.1,1509.7,,,,0,1323.48490566038,1260.69090909091,1427.095,1261.09807692308,1150.42307692308,1371.77307692308,1427.095,164.982607936793,116.602573844974,182.8864429812,238.227709070079,185.400695376673,236.481996875352,0.12465771784112,0.0924910087033603,0.128152956167039,0.18890498164213,0.161158706823359,0.172391484315895,1500
21,2,6,3,HR_Driving,2,99,30.3030303030303,84.8484848484848,84,67,69,2,2,0,0,30,17,13,0,13,0.0289855072463768,0.971014492753623,0.433333333333333,0.566666666666667,0.446268656716418,2.06381105114379,-0.864011520783791,378.333333333333,89.7153864992658,485.266666666667,494.666666666667,494.666666666667,863.6,873,873,,,,0,919.624637681159,902.029850746268,NaN,891.293333333333,939.229411764706,828.607692307692,NaN,178.820524882778,148.669288278548,NaN,140.156333731507,106.088051664089,157.968411723876,0.194449471616675,0.164816372934389,NaN,0.157250512810792,0.112952224808166,0.190643187590898,1500
21,2,10,4,Chest_Picking,2,106,49.0566037735849,51.8867924528302,55,32,54,17,17,5,0.0925925925925926,52,23,29,16,13,0.314814814814815,0.592592592592593,0.557692307692308,0.442307692307692,0.813929313929314,0.0890982527038454,-0.189670067562697,142.307692307692,74.3498720179123,1166.69230769231,1397.69230769231,1399.69230769231,1309,1540,1542,,,,0,1222.2962962963,1090.03125,1414.68181818182,1200.40384615385,1009.65217391304,1351.68965517241,1414.68181818182,316.737176305448,272.473198963175,279.584791868506,349.683344689942,215.630915454173,364.13577760503,0.259132893771501,0.249968245372025,0.197630865312056,0.291304751988545,0.213569505445094,0.269393034275004,1500
21,2,10,4,HR_Driving,2,78,30.7692307692308,80.7692307692308,63,53,54,1,1,0,0,24,10,14,0,14,0.0185185185185185,0.981481481481482,0.583333333333333,0.416666666666667,0.594339622641509,1.87492717178391,-1.14789198013988,458.333333333333,131.601066028016,459.666666666667,466.666666666667,466.666666666667,918,925,925,,,,0,881.074074074074,868.735849056604,NaN,874.458333333333,944.2,824.642857142857,NaN,189.140942940169,167.581799881935,NaN,117.331925736781,119.129994357238,90.0970477983492,0.214670875588909,0.192903055703203,NaN,0.134176691174667,0.126170296925692,0.109255839686175,1500
22,2,7,1,AB_Driving,4,88,30.6818181818182,85.2272727272727,75,59,61,1,1,1,0.0163934426229508,27,16,11,0,11,0.0163934426229508,0.967213114754098,0.407407407407407,0.592592592592593,0.414197530864198,2.07554539405185,-0.803553503111308,564.814814814815,89.6733546897323,358.885185185185,363.085185185185,363.085185185185,923.7,927.9,927.9,,,,0,964.113114752459,954.613559320339,1244.35,943.848148148148,1075.74375,752,1244.35,194.964282606406,184.837412673217,369.746135882446,213.367111174741,152.533021424871,123.070207605253,0.202221377993042,0.193625379472733,0.297139981421984,0.22606084632721,0.141793081693359,0.163657190964432,1500
22,2,7,1,Treasure_Collect,4,151,29.8013245033113,74.8344370860927,113,86,106,9,9,11,0.10377358490566,45,27,18,0,18,0.0849056603773585,0.811320754716981,0.4,0.6,0.437113402061856,1.13612091865312,-0.314713356190759,527.777777777778,109.001436372706,391.922222222222,409.122222222222,410.222222222222,919.7,936.9,938,,,,0,1015.11226415094,984.897674418604,1145.035,929.382222222222,944.585185185185,906.577777777778,1145.035,227.123849454467,149.168818675742,404.512528301203,148.187297469497,177.653378377679,87.4598499854483,0.223742592297845,0.151456158898738,0.353275252111248,0.159447097142842,0.188075550161048,0.0964725279278648,1500
