Participant,Group,Tot_session,Inc_session,Game,BonusGames,TotalTrials,Perc_ActSelTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_error,P_go_errors,ActSel_trials,corr_actselect_trials,Incorr_actselect_trials,miss_actselect_trials,wrong_actselect_trials,P_go_omission,P_Hit,P_miss_ActSelTrial,P_corr_actselect,P_val_adjusted,dprime,dprime_bias,mean_SSD,SSD_std,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_go_RT,mean_Corr_go_RT,mean_InCorr_go_RT,mean_all_ActSel_RT,mean_CorrActSel_RT,mean_InCorrActSel_RT,mean_inCorr_Go_RT,std_all_goRT,std_Corr_goRT,std_InCorr_goRT,std_all_ActSel_RT,std_Corr_ActSel_RT,std_InCorr_ActSel_RT,CovVar_all_goRT,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_all_ActSel_RT,CovVar_Corr_ActSel_RT,CovVar_InCorr_ActSel_RT,meanStimDur
21,2,1,1,AB_Driving,0,82,29.2682926829268,64.6341463414634,53,45,58,12,12,1,0.0172413793103448,24,8,16,10,6,0.206896551724138,0.775862068965517,0.666666666666667,0.333333333333333,NaN,0.327565257695694,-0.594509928143305,131.25,93.0316682874591,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,1089.4120689431,969.317777748889,1505.12307692308,1249.17083333333,1086.2,1330.65625,1505.12307692308,296.775315867164,210.659438974214,119.750039344782,321.36227218499,40.1651945985932,369.259504000584,0.272417870452896,0.217327530568399,0.0795616260097396,0.257260467191229,0.0369777155207081,0.277501799582412,1500
21,2,1,1,Mining,1,102,30.3921568627451,74.5098039215686,76,57,71,7,7,7,0.0985915492957746,31,19,12,0,12,0.0985915492957746,0.802816901408451,0.387096774193548,0.612903225806452,NaN,1.13861989762131,-0.282416031887614,375.806451612903,103.175390914319,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,1184.98028168732,1166.98771929825,1258.23571427143,1191.17419354839,1222.3631579,1141.79166665833,1258.23571427143,213.475052157475,171.228501331439,334.497891486524,228.422224497097,277.883943014185,107.705300452124,0.180150721034364,0.146726909375195,0.265846762806452,0.191762234049623,0.227333375697927,0.0943300810447702,1500
21,2,2,2,AB_Driving,1,88,30.6818181818182,80.6818181818182,71,56,61,2,2,3,0.0491803278688525,27,15,12,0,12,0.0327868852459016,0.918032786885246,0.444444444444444,0.555555555555556,NaN,1.53167057884446,-0.626124990540367,324.074074074074,97.4387089113048,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,829.645901639344,809.783928571428,1052.1,974.662962962963,1120.18666666667,792.758333333333,1052.1,256.746962055231,211.705087134984,552.397438444459,242.139556308639,169.5435505226,192.415674367823,0.309465714888617,0.261434043904108,0.525042713092348,0.24843414134927,0.151352944618695,0.242716684615307,1500
21,2,2,2,Chest_Picking,1,106,50,65.0943396226415,69,36,53,7,7,10,0.188679245283019,53,33,20,6,14,0.132075471698113,0.679245283018868,0.377358490566038,0.622641509433962,0.434782608695652,0.778015149940553,-0.0765818219735611,234.905660377358,75.6922575430232,988.894339622641,1011.09433962264,1014.89433962264,1223.8,1246,1249.8,,,"",0,1281.64339622642,1256.84722222222,1334.15294117647,1196.00943396226,1134.8,1297.005,1334.15294117647,157.224597446106,125.626690717518,203.721265205817,222.269268667318,195.235213908762,231.881513470724,0.122674214925171,0.0999538277177383,0.152697085107929,0.185842404211613,0.172043720398979,0.178782281849896,1500
21,2,3,3,AB_Driving,1,86,29.0697674418605,83.7209302325581,72,57,61,3,3,1,0.0163934426229508,25,15,10,2,8,0.0491803278688525,0.934426229508197,0.4,0.6,NaN,1.76293919304118,-0.628122493384792,554,133.790881602597,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,981.006557377049,954.378947368421,1360.45,1135.252,1263.37333333333,943.07,1360.45,296.45228951095,276.300483258485,356.634271114448,283.181577672936,129.562574328649,345.451000062881,0.302191955070703,0.289508149797676,0.262144342764855,0.249443804259263,0.102552880380027,0.36630472824168,1500
21,2,3,3,Treasure_Collect,1,112,30.3571428571429,69.6428571428571,78,57,78,11,11,10,0.128205128205128,34,21,13,1,12,0.141025641025641,0.730769230769231,0.382352941176471,0.617647058823529,0.445127304653205,0.914448015061641,-0.157917097065153,504.411764705882,155.878569220551,615.188235294117,656.988235294118,656.988235294118,1119.6,1161.4,1161.4,,,"",0,1343.06923076923,1202.32807017544,1725.08095238095,1133.72647058824,1128.49523809524,1142.17692307692,1725.08095238095,1062.96896746528,158.085942668612,2017.54027757045,153.557805340872,154.449203546637,157.994156821522,0.791447635842626,0.131483200459209,1.16953368175902,0.135445197165766,0.136862964355373,0.138327218515236,1500
21,2,4,4,AB_Driving,1,82,30.4878048780488,73.1707317073171,60,47,57,9,9,1,0.0175438596491228,25,13,12,6,6,0.157894736842105,0.824561403508772,0.48,0.52,NaN,0.983042756670704,-0.441367794870618,736,60.4152298679729,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,1178.91754385439,1115.57872339787,1476.61,1326.040000004,1391.12307692308,1255.53333334167,1476.61,249.989446301952,222.861978096077,124.828063529178,247.786260374302,79.4877994185916,341.522426603892,0.212049983991781,0.199772524719076,0.0845369214140347,0.186861829487462,0.0571393004236583,0.272013826741591,1500
21,2,4,4,Conveyor_Belt,1,90,50,45.5555555555556,41,19,45,5,5,20,0.444444444444444,45,22,23,7,16,0.111111111111111,0.422222222222222,0.511111111111111,0.488888888888889,0.575,-0.167565325867321,0.0559276359482017,261.111111111111,118.651939842056,980.688888888889,1005.48888888889,1005.48888888889,1241.8,1266.6,1266.6,,,"",0,1246.54545454091,1314.54210526316,1194.867999992,1229.19999999778,1118.5,1335.08695651739,1194.867999992,191.453140132552,122.951450742828,218.843238658106,205.12211219292,165.555914881773,184.420924933143,0.153586970643652,0.093531770683157,0.183152648375863,0.166874481120478,0.148016016881335,0.138134017438242,1500
21,2,4,4,HR_Driving,2,18,27.7777777777778,77.7777777777778,14,11,13,0,0,2,0.153846153846154,5,3,2,0,2,0,0.846153846153846,0.4,0.6,0.4,1.273423335922,-0.383364564825201,240,41.8330013267038,400.5999999,400.5999999,400.5999999,640.5999999,640.5999999,640.5999999,,,"",0,741.123076915385,713.972727263636,890.45,711.96000002,807.400000033333,568.8,890.45,257.278445636767,246.220373203981,367.907658251361,152.950949656261,72.5835380231634,121.339523651612,0.347146720498275,0.34485963371128,0.41317048486873,0.214830818658301,0.0898978672531171,0.213325463522524,1500
21,2,5,5,HR_Driving,2,97,29.8969072164948,81.4432989690722,79,64,68,1,1,3,0.0441176470588235,29,15,14,0,14,0.0147058823529412,0.941176470588235,0.482758620689655,0.517241379310345,0.489963973237262,1.60795766251462,-0.760747640104491,377.586206896552,68.9023725702737,519.413793103448,530.613793003448,530.613793003448,897,908.1999999,908.1999999,,,"",0,917.882352936765,914.229687495313,800.633333333333,891.013793127586,1009.41333334667,764.157142892857,800.633333333333,239.588599472567,233.906472747908,84.2107673242165,211.988521790997,152.441529139749,195.602531507328,0.261023211423559,0.255850882931547,0.105180191503664,0.237918339116712,0.151019928213485,0.255971606529566,1500
